market_place,product_title,star_rating,helpful_votes,total_votes,verified_purchase,review_headline,Review,review_date,review_day,review_month,review_year,product_category
US,There Was an Old Lady Who Swallowed a Shell!,1,0,0,"1 	(Y)",Five Stars,I love it and so does my students!,31-08-2015,Monday,August,2015,hardcover_book
US,I Saw a Friend,1,0,0,"1 	(Y)","Please buy I Saw a Friend""! Your children will be delighted!""","My wife and I ordered 2 books and gave them as presents...one to a friend's daughter and the other to our grandson! Both children were so happy with the story, by author Katrina Streza, and they were overjoyed with the absolutely adorable artwork, by artist Michele Katz, throughout the book! We highly recommend &#34;I Saw a Friend&#34; to all your little ones!!!",31-08-2015,Monday,August,2015,hardcover_book
US,"Black Lagoon, Vol. 6",1,0,0,"1 	(Y)",Shipped fast.,Great book just like all the others in the series.,31-08-2015,Monday,August,2015,hardcover_book
US,If I Stay,1,0,0,"0 	(N)",Five Stars,So beautiful,31-08-2015,Monday,August,2015,hardcover_book
US,Stars 'N Strips Forever,1,2,2,"1 	(Y)",Five Stars,Enjoyed the author's story and his quilts are incredible. I have plans to make three.,31-08-2015,Monday,August,2015,hardcover_book
US,Devil in the Details (Book 2: The Monastery Murders) (Volume 2),1,2,2,"0 	(N)",The Monastery Murders - Book 2: Devil in the Details,"&#34;Secrets in the Shallows,&#34; Book 1 of &#34;The Monastery Murders&#34; series grabbed me and drew me in! Book 2, &#34;Devil in the Detals&#34; tightened its hold on me and now I'm addicted! Did Mother Superior really murder the two Catholic school boys? If she didn't, then who did, and will the actual murderer be found out and caught? Did the murder of the beautiful, golden tressed nun and a boy's apparent suicide ten years earlier tie in with the more recent murders? What is the spirit in the Monastery trying to say? Some answers are revealed in this book, but the mystery broadens, and many more questions arise. I enjoyed this gripping book immensely and you will too! Now I must read Book 3 so I can get the whole story!",31-08-2015,Monday,August,2015,hardcover_book
US,Knowing When to Stop: A Memoir,1,0,0,"1 	(Y)",Five Stars,I love it!,31-08-2015,Monday,August,2015,hardcover_book
US,The American Pageant,1,0,0,"1 	(Y)",Five Stars,It was a great purchase.,31-08-2015,Monday,August,2015,hardcover_book
US,Punjabi C.L. Bible / Common Language Version,1,0,0,"1 	(Y)",Five Stars,Quality product fast shipping.,31-08-2015,Monday,August,2015,hardcover_book
US,The Aeneid (Everyman's Library),1,0,0,"1 	(Y)",Five Stars,Very happy,31-08-2015,Monday,August,2015,hardcover_book
US,The YMCA of Middle Tennessee: Three Centuries of Service,1,0,0,"1 	(Y)",Great history book by renown author.,Love reading all books by this author. Very in-depth. His love of history is evident. Always accurate.<br /><br />Reputable shipper.,31-08-2015,Monday,August,2015,hardcover_book
US,Memoirs By Harry S. Truman: 1945 Year of Decisions,1,0,1,"1 	(Y)",Five Stars,such a great purchase,31-08-2015,Monday,August,2015,hardcover_book
US,Arms of our fighting men,1,0,0,"1 	(Y)",Four Stars,book was fine Thank you,31-08-2015,Monday,August,2015,hardcover_book
US,Hello Ocean/Hola mar,1,0,0,"1 	(Y)",Five Stars,beautiful work and brings back the childhood of one who grew up by the ocean,31-08-2015,Monday,August,2015,hardcover_book
US,"The Vampire Lestat (Vampire Chronicles, Book II)",1,0,0,"1 	(Y)",Shipped fast.,"This is my favorite novel of all time. Lester just resonates with me on so many levels. I haven't read any of Anne Rice's other books, but I've re-read this one at least 3 times. Great buy, great value.",31-08-2015,Monday,August,2015,hardcover_book
US,The Book of Life (All Souls),1,0,0,"1 	(Y)",One of my favorites!,Love Deborah Harness's Trilogy! Didn't want the story to end and hope they turn this trilogy into a movie. I would love it if she wrote more books to continue this story!!!,31-08-2015,Monday,August,2015,hardcover_book
US,Disney Descendants Yearbook,1,1,1,"1 	(Y)",... has all three of Mals books they are all great!!,Now my daughter has all three of Mals books they are all great !!!,31-08-2015,Monday,August,2015,hardcover_book
US,"CompTIA A+ Certification All-in-One Exam Guide, 8th Edition (Exams 220-801 & 220-802)",1,0,0,"1 	(Y)",He said it has been very useful in helping him study for his A+ certification exam,Bought this book for my boyfriend. He said it has been very useful in helping him study for his A+ certification exam.,31-08-2015,Monday,August,2015,hardcover_book
US,Nirvana: The Complete Illustrated History,1,0,0,"0 	(N)",Worth the money:),"I bought this book at the EMP music museum in Seattle Washington and I absolutely love it, definitely shows you another perspective of the band. I've been a huge fan ever since I can remember. My only complaint is that it's not long enough. (I never want it to end!)",31-08-2015,Monday,August,2015,hardcover_book
US,The Bike Deconstructed: A Grand Tour of the Modern Bicycle,1,2,3,"1 	(Y)",Good read. love anything about bikes,Good read.love anything about bikes.I learned a lot reading this.,31-08-2015,Monday,August,2015,hardcover_book
US,The One-Day Weekend: College Football Goes Professional,1,0,0,"1 	(Y)",this book is very topical and reads like a combination of the sports pages,"As football seasons restarts, and the Northwest University labor decision (players lost) was just handed down, this book is very topical and reads like a combination of the sports pages, the finance section, and the newspages. You get this &#34;I was there&#34; sense as college football is remade and the university administrators, the NCAA, and the NFL all play a role. It's like watching a simulation in action - although it could be real!",31-08-2015,Monday,August,2015,hardcover_book
US,The Encyclopedia of Infant and Toddlers Activities for Children Birth to 3: Written by Teachers for Teachers,1,0,0,"1 	(Y)",Five Stars,Excellent resource.,31-08-2015,Monday,August,2015,hardcover_book
US,Crimes of the Educators: How Utopians Are Using Government Schools to Destroy America's Children,1,0,0,"1 	(Y)",Five Stars,Excellent--,31-08-2015,Monday,August,2015,hardcover_book
US,High School Runner: Freshman,1,1,1,"0 	(N)",Five Stars,A must read for any high school runner or former runner..,31-08-2015,Monday,August,2015,hardcover_book
US,"Microbiology with Diseases by Taxonomy, Books a la Carte Edition and Modified MasteringMicrobiology with Pearson eText -- ValuePack Access Card -- for ... Diseases by Taxonomy Package (4th Edition)",1,0,0,"1 	(Y)",good textbook seller,saved money and received pretty quick,31-08-2015,Monday,August,2015,hardcover_book
US,"Tuesdays with Morrie: an Old Man, a Young Man, and Life's Greatest Lesson, 1st edition",1,0,0,"1 	(Y)",such a great book!,item as described. such a great book!,31-08-2015,Monday,August,2015,hardcover_book
US,Pearson Reviews & Rationales: Medical-Surgical Nursing,1,0,0,"1 	(Y)",This was very helpful for my Med-Surg class! I ...,This was very helpful for my Med-Surg class! I used this to study for my exams in addition to the test books. It really summarized each system and focused on what NCLEX thought was important.,31-08-2015,Monday,August,2015,hardcover_book
US,The Loner,1,0,0,"1 	(Y)",Five Stars,As expected,31-08-2015,Monday,August,2015,hardcover_book
US,Forming Intentional Disciples: The Path to Knowing and Following Jesus,1,0,0,"1 	(Y)",This book inspired me not to nly looke at my ...,This book inspired me not to nly looke at my own life but also how I minister to others in helping them to become disciples. This examines the ways in which people progress in that relationship and practical steps that we can take along the way.,31-08-2015,Monday,August,2015,hardcover_book
US,Woe is I Jr.: The Younger Grammarphobe's Guide to Better English in PlainEnglish,1,0,0,"1 	(Y)",Five Stars,Excellent--,31-08-2015,Monday,August,2015,hardcover_book
US,The Outsider,1,0,0,"1 	(Y)",Loved the book,Had seen the movie and just had to read the book. Impressed with this author. Loved the book.,31-08-2015,Monday,August,2015,hardcover_book
US,"The Ender Quartet Boxed Set: Ender's Game, Speaker for the Dead, Xenocide, Children of the Mind (The Ender Quintet)",1,1,1,"1 	(Y)",Five Stars,Thank you!,31-08-2015,Monday,August,2015,hardcover_book
US,"The Game, Kirsten Backhard (Kirstehn Backhard) (Volume 1)",1,0,0,"1 	(Y)",I LOVED this book,I LOVED this book! It made me laugh and cry. I couldn't put it down and can't wait for Playing the Game!,31-08-2015,Monday,August,2015,hardcover_book
US,Standard Catalog of Smith & Wesson,1,0,0,"1 	(Y)",Five Stars,A must have for the S&W collector.,31-08-2015,Monday,August,2015,hardcover_book
US,A Woman of Boston,1,0,0,"1 	(Y)",Five Stars,Order as stated. Thank you.,31-08-2015,Monday,August,2015,hardcover_book
US,Secret New York - An Unusual Guide: Local Guides By Local People,1,1,1,"1 	(Y)",Uncommon sights,"This was a great graduation gift for young relative embarking on NYC career after leaving his Midwestern university. Even if he is more likely to use phone-based information, this will be great for his out of town visitors to use while he is at work.",31-08-2015,Monday,August,2015,hardcover_book
US,"The Big Fat Surprise: Why Butter, Meat and Cheese Belong in a Healthy Diet",1,1,1,"1 	(Y)",Easy to read that should be an eye opener for ...,Exceptionally well written and researched review. Easy to read that should be an eye opener for any one interested in nutrition and the politicalization of our health.,31-08-2015,Monday,August,2015,hardcover_book
US,"The Explosive Child: A New Approach for Understanding and Parenting Easily Frustrated, Chronically Inflexible Children",1,0,0,"1 	(Y)",Four Stars,Good book with real life examples,31-08-2015,Monday,August,2015,hardcover_book
US,Brooks/Cole Empowerment Series: Essential Research Methods for Social Work (SW 385R Social Work Research Methods),1,0,0,"1 	(Y)",Five Stars,good,31-08-2015,Monday,August,2015,hardcover_book
US,APPROACHING EYE LEVEL,1,0,0,"1 	(Y)",Can't beat Vivian Gornick,"good value, great reading from an honest writer.",31-08-2015,Monday,August,2015,hardcover_book
US,Oxford preparation course for the TOEFL iBT Exam:A Skills Based Communicative Approach Student Book,1,0,0,"1 	(Y)",Five Stars,Good,31-08-2015,Monday,August,2015,hardcover_book
US,The Little Cedar Tree (Volume 1),1,1,1,"0 	(N)",My children love this book,"My children love this book, they read it almost every night and always have interesting thoughts and questions afterwards.",31-08-2015,Monday,August,2015,hardcover_book
US,Rocks and Fossils: A Visual Guide (Visual Guides),1,0,0,"1 	(Y)",Five Stars,Great!,31-08-2015,Monday,August,2015,hardcover_book
US,From This Day Forward: Wedding Guest Book,1,0,0,"1 	(Y)",Great quality! I like the fact that it is ...,"Great quality! I like the fact that it is small, so it will be easy to save & store after our wedding day. I can't wait to use it.",31-08-2015,Monday,August,2015,hardcover_book
US,Inner Peace (Self-Realization Fellowship),1,0,0,"1 	(Y)",Excellent source of spiritually based insight,Excellent source of spiritually based insight. I have given as a gift to several people of different backgrounds. All of the appreciate the informaripn,31-08-2015,Monday,August,2015,hardcover_book
US,As The Crow Flies,1,0,0,"1 	(Y)",As the Crow Flies by Jeffrey Archer,This is one of my favorite Jeffrey Archer books so I bought it for a friend. What a really unique story!,31-08-2015,Monday,August,2015,hardcover_book
US,"Le Freak: An Upside Down Story of Family, Disco, and Destiny",1,0,0,"1 	(Y)",I learned so much about this music icon,"What a great autobiography. This book gave me a new insight to an era in pop music history. It is history. I now have the greatest utmost respect for Nile Rogers. Anyone who wants to know the the 70's music genre, must include this in their studies.",31-08-2015,Monday,August,2015,hardcover_book
US,"Estelle: An Inspiring Love Story, An Amazing Story of Persistent Love and the Prayers that Produced a Great Spiritual Awakening",1,0,0,"1 	(Y)",Five Stars,Great book. Good value. Prompt delivery.,31-08-2015,Monday,August,2015,hardcover_book
US,Rodeo Rescuer (Wrangler's Corner),1,0,0,"0 	(N)","4,5***","Lots of great suspense, action, fear and terror in the story, that also includes a surprising conclusion. There are not many authors who can still pull a surprise at the end for me when it comes to the crime, and when it happens, I absolutely love it!<br />This story has a perfect balance of suspense and romance. Suspense full of twists that keeps the intensity level high through the story.<br />Seth and Tonya both have some serious issues to be dealt with. Seth's ex-girlfriend walked out on him when he was injured, leaving him with disillusion and a broken heart. Tonya, don't only have a stalker ex-boyfriend, who had been in prison for trying to kill her before, her other boyfriend had died in a bullfighting accident.<br />So the road ahead of them wasn't easy, but the attraction they feel for each other is strong, and the connection they have go deeper than an attraction, they have respect, protectiveness, and kindness towards each other, they have lots of things in common, and they work together as a seamless team. Both of them are strong and independent, and I loved them together, it was so natural, the affection between them genuine and it was sweet how they took care of each other.<br />Great, charming, and likable characters, loving families, romance that makes you smile, and a string of crimes and mysteries, all presented in a solid plot to entertain and touch your heart<br />~ Four Spoons with a teaspoon on the side",31-08-2015,Monday,August,2015,hardcover_book
US,Bonsai (101 Essential Tips),1,1,1,"1 	(Y)",Very informative,Very informative book- so informative that I think the only Bonsai I will be admiring in my home is one bought at the flower shop- I learned that this is as much a commitment as getting a pet! I did pull up a pine sapling in my yard and will try to start a Bonsai- following the simple to under stand directions in this great little book - you will not be disappointed and you will learn that about any plant can be trained to be a bonsai-,31-08-2015,Monday,August,2015,hardcover_book
US,"Rising Tide (SIRENS, Book 1) (Volume 1)",1,0,0,"1 	(Y)",I decided to give it a go myself and am so glad I did,I bought this for my teen daughter because she expressed interest in finding a book about sirens. I decided to give it a go myself and am so glad I did. I highly recommend!,31-08-2015,Monday,August,2015,hardcover_book
US,Earth Medicine: Ancestor's Ways of Harmony for Many Moons,1,0,0,"1 	(Y)",Four Stars,LOts of interesting information.,31-08-2015,Monday,August,2015,hardcover_book
US,JavaScript and JQuery: Interactive Front-End Web Development,1,0,0,"1 	(Y)",Binding is a piece of s***,"The content of the book is very good. I would have given it 5 stars, if the binding didn't break and pages falling out 3 months after I got it. I've bought quite a few tech books, and this by far is the cheapest put together.",31-08-2015,Monday,August,2015,hardcover_book
US,"Country Music Hall of Fame and Museum - Volume 8: Photos, Stories and 27 Songs",1,0,0,"1 	(Y)",Not as famous as hoped for. Supplier met all ...,"Not as famous as hoped for. Supplier met all advertising and deserves 5 stars for service. Item contains some music deserving hall of fame status but is spread over multiple pages (many). At the price, I cut out the music I want, scan it into a software program to transform it to fake book format and trash the original..Used book status makes the process affordable",31-08-2015,Monday,August,2015,hardcover_book
US,The Princes of Ireland: The Dublin Saga,1,0,0,"1 	(Y)",Four Stars,This held my attention and was informative as well as entertaining,31-08-2015,Monday,August,2015,hardcover_book
US,The Oregon Bigfoot Highway,1,0,0,"0 	(N)","Beware, this book incites wanderlust","Few books on this subject capture a landscape and its history so well. The friendly tone comes off as one long campfire story, but the information is packed with helpful tips on safely navigating Oregon forest roads, wilderness survival, and scouting for evidence of the elusive Sasquatch. A good source reference spanning decades of quality field work, this one deserves a permanent home in your library. The book includes informative summary tables and GPS coordinates, so the casual tourist or experienced enthusiast can join the journey. Whether you do so on Google Earth or on foot, you will learn something from the authors and those who collaborated with them over the years.",31-08-2015,Monday,August,2015,hardcover_book
US,The Queen of Fire and the King of Ice,1,0,0,"0 	(N)",I highly recommend that parents purchase this book for their children when ...,"As a clinical psychologist, a mom of three, and the author of How to Talk to Your Kids About Your Divorce, I highly recommend that parents purchase this book for their children when they are separated or divorced. This story shows that divorce happens when two people are too different to make a marriage work, without blame or fault. It is told as a parable that will appeal to small kids- the queen and the king just cannot live in the same home because they are too different, although at first they didn't realize that this was the case. This is a reassuring story that focuses on the love that both parents maintain for their child despite divorcing and living separately. Five stars.",31-08-2015,Monday,August,2015,hardcover_book
US,"Against Their Odds""""",1,1,1,"0 	(N)",Determination,"As someone who knows Jaynie's journey, 'Against Their Odds' demonstrates how the right environment and determination can be a greater healer than some areas of medicine are currently capable. Jeff Edgecombe",31-08-2015,Monday,August,2015,hardcover_book
US,Brain Quest Workbook: Kindergarten,1,0,1,"1 	(Y)",Five Stars,"This is good for my 4 year old, but not challenging enough.",31-08-2015,Monday,August,2015,hardcover_book
US,Daily Tortilla: Authentic Mexican Recipes,1,0,0,"0 	(N)",Authentic Mexican Food that will bring the family to the table.,"Authentic Mexican recipes with easy directions, food preparations, and wonderful food that will bring the family to the table. I love how the chef has cross referenced recipes throughout the book, gave serving suggestions, and specified how to use alternate ingredients to vary the kick. A picture is worth a thousand words and you know how the recipe is supposed to look when it is done. Well done Ricardo, you knocked it out of the ball park with this one.",31-08-2015,Monday,August,2015,hardcover_book
US,Swarm Traps and Bait Hives: The easy way to get bees for free.,1,0,0,"1 	(Y)",he has some great info on beekeeping,"If you have seen his videos on YouTube or have been to his web page . Learningbeekeeping.com , he has some great info on beekeeping. this book is a valuable tool in your beekeeping library . I would recommend it to new and experienced beekeepers who want to want to get FREE bee's !!!!",31-08-2015,Monday,August,2015,hardcover_book
US,The Highly Sensitive Child: Helping Our Children Thrive When The World Overwhelms Them,1,0,2,"1 	(Y)",Five Stars,good read,31-08-2015,Monday,August,2015,hardcover_book
US,5 Seconds of Summer Poster Collection,1,1,1,"1 	(Y)",I LOVE THEM❤❤,"They were so cute and I have then covering my walls, I LOVE THEM❤❤",31-08-2015,Monday,August,2015,hardcover_book
US,Living Life: Nuggets for Daily Christian Living (Volume 1),1,0,0,"0 	(N)",blessed,It has blessed me,31-08-2015,Monday,August,2015,hardcover_book
US,Over in the Ocean: In a Coral Reef,1,0,0,"1 	(Y)",Five Stars,I was pleased with the product.,31-08-2015,Monday,August,2015,hardcover_book
US,The Pearl,1,0,0,"1 	(Y)",Five Stars,"Arrived before estimated delivery date, just as advertised.",31-08-2015,Monday,August,2015,hardcover_book
US,"Daily Word Problems, Grade 4",1,0,0,"1 	(Y)",Five Stars,I was pleased with the product.,31-08-2015,Monday,August,2015,hardcover_book
US,A Long Road Home,1,1,1,"0 	(N)","... a thought-provoking debut novel from an artist who created beautifully flawed, believable characters","A Long Road Home is a thought-provoking debut novel from an artist who created beautifully flawed, believable characters.",31-08-2015,Monday,August,2015,hardcover_book
US,"Daily Reading Comprehension, Grade 4",1,0,0,"1 	(Y)",Five Stars,I was pleased with the product.,31-08-2015,Monday,August,2015,hardcover_book
US,Clinical Anesthesia Fundamentals: Print + Ebook with Multimedia,1,5,5,"0 	(N)",Excellent lecture videos!,"Many folks commented on the TEXT of the book. As a medical student, I concur with the other reviews that this is an excellent introductory resource to obtain foundation for your clinical education.<br /><br />This review will instead focus on the lecture videos, which supplement each and every chapter, and can be easily overlooked - and let me tell you, they are great! As someone with experience in designing and producing interactive educational multimedia, here are my takes on the videos:<br /><br />- There is a video lecture that supplements each chapter. They are very nice summaries and place emphasis on the important points in the text while supplementing with interesting points to enhance memorization<br />- There are multiple choice questions immbedded between sections of each lecture, which are great reminders and pointers of key learning points and forced you to think again. Each question comes with a full explanation of choices and main concept.<br />- The videos are short and sweet<br />- They have very similar content to the text, but uses different sensory modalities (i.e. graphs, animations, images, audio) that enhance memorization; for example, for the introductory lecture on the history of anesthesia, the pictures of different historic figures and instruments really helped me link names to events.<br />- As someone with experience in designing and producing educational multimedia projects, I understand how hard it is to have high quality (and actually very useful) digital contents made available to supplement the text. There are inherent restrictions on the different technical parameters allowed by such web contents, such as the definitions and smoothness of the videos. With that in mind, the qualities of the lecture videos are pretty great. The other thing is, while you can switch the slides and lecturer windows, it might be helpful to have an option to change the sizes of different windows (I personally think the lecturer's window is too small).<br/>- I could recommend several good ways to utilize the lecture videos. 1. you can watch the videos after reading the text 2. you can watch the video first, and then you can pause and refer back to the text for clarification if needed - the videos cover the main points. 3. read the text of every chapter, then when reviewing the concepts at the end of your study, use the lecture videos.<br /><br />In summary, great videos! And if you bought this book or planning on getting this book (yes you will like it if you are a medical student learning anesthesia or a resident looking to lay down good foundational knowledge), make sure you USE these wonderful interactive digital contents!",31-08-2015,Monday,August,2015,hardcover_book
US,"USAAF Medium Bomber Units ETO and MTO, 1942-45",1,0,0,"1 	(Y)",Wonderful american bombers,"It is the last book of my collection of the the AIRCAM/ AIRWAR serie ! now, I have the 24 items. This book of 48 pages is full of pictures and beautitful drawings and Thanks a lot to Amazon and its dealers ! Kind regard.",31-08-2015,Monday,August,2015,hardcover_book
US,Build Your Own Metal Working Shop From Scrap (Complete 7 Book Series),1,0,0,"1 	(Y)",Highly recommend.,Is getting me off to a good start.,31-08-2015,Monday,August,2015,hardcover_book
US,Transformed,1,0,0,"0 	(N)",Five Stars,Very enjoyable read with unique story line and characters.,31-08-2015,Monday,August,2015,hardcover_book
US,Creative Coloring Inspirations: Art Activity Pages to Relax and Enjoy!,1,0,0,"1 	(Y)",Perfect,This coloring book is beautiful. The pages are single page and perforated. I love it!,31-08-2015,Monday,August,2015,hardcover_book
US,The Mind (Salmon Poetry),1,1,1,"0 	(N)",One of the finest voices in poetry you might not have heard about yet.,"If I were still working with John FitzGerald (in the interest of full disclosure, we worked together at Red Hen Press), I would nudge him and say of his book THE MIND, &#34;Skynet becomes self-aware at 2:14 a.m. Eastern time, August 29th.&#34; My sense of John is that he has been aware of himself for a long time, but not in a solipsistic or narcissistic way at all. He is a keen observer, a consumer of origins, fine distinctions, continua, grand schemes, and minute details. He likely began observing and contemplating information from the moment he experienced the glare of light in the delivery room, and he has never stopped. Interestingly, while THE MIND is about the remarkable way John thinks, it speaks to the larger questions of how we all think, how we came to be sapient in the first place, and how we develop as thinking souls in space and time. Keeping the language of his prose-like tercets basic, unadorned, and free-flowing, he accomplishes poetry of significance and elemental beauty. Left brain contemplation of structure and systems aligns itself with right brain wonder and whimsy, but neither hemisphere dominates in the work, so the reader can only expect the unexpected. And the rewards are great: poems of curiosity, orientation with the universe, sorrow, finding center, and surprising hilarity. (Only John can make the idea of rocks funny.) If I were teaching from John's book, I would encourage poetry students to examine his masterful skill with personification. I would encourage philosophy students to wrestle with his experiences of phenomena. I would ask psychology and neuro-biology candidates to experience the brain from inside-out. I would ask physics students to explore how we process space and time in an era when such concepts are continually challenged and updated. I would ask divinity students to consider creation from the point of view of the created. THE MIND weighs so many approaches to thinking and being that you won't devour it in one or two sittings. Read it as you would the Book of Genesis, or Hawking, or an introduction to meditation. You will not think the same way ever again after reading it.",31-08-2015,Monday,August,2015,hardcover_book
US,Helping Without Hurting in Short-Term Missions: Participant's Guide,1,0,0,"1 	(Y)",Five Stars,A must read for all those planning short term missions!,31-08-2015,Monday,August,2015,hardcover_book
US,My First ABC (My First Books),1,0,0,"1 	(Y)",Excellent to learn,Kids love it,31-08-2015,Monday,August,2015,hardcover_book
US,Writing in the Margins: Connecting with God on the Pages of Your Bible,1,2,2,"1 	(Y)",Five Stars,Love this book. Certainly helps with journaling in my Bible!,31-08-2015,Monday,August,2015,hardcover_book
US,The Growing Up Book for Boys: What Boys on the Autism Spectrum Need to Know!,1,2,2,"0 	(N)","Definitely a book that growing up boys will enjoy, love and keep at heart!","Thanks so much for this opportunity to read a book that focuses on boys with special needs like Autism. I actually got this book in the hopes to understand my friend's son who's got autism spectrum, and also to help my friend on how to cope with her son, Brent. Together, we read the book to him, and thoroughly explained the stuffs he needs to do with his body while growing up. I like that the book also contains important information and advice for parents and guardians in order to properly provide for the physical and emotional well-being of the kids. He's learning a lot, thanks to the valuable pieces of information as well as the illustrations in the book. Definitely a book that growing up boys will enjoy, love and keep at heart!",31-08-2015,Monday,August,2015,hardcover_book
US,"Best Easy Day Hikes Olympic National Park, 2nd (Best Easy Day Hikes Series)",1,0,0,"1 	(Y)",Five Stars,"great info source, if you are going to the olympic peninsula you need to get this book.",31-08-2015,Monday,August,2015,hardcover_book
US,Fairytales Gone Wrong: Give Us a Smile Cinderella: A Story About Personal Hygiene,1,0,0,"1 	(Y)",We always talk about hygiene here and this really made ...,We always talk about hygiene here and this really made them think about teeth care as part of hygiene. We also gave everyone a tooth paste and tooth brush kit after reading the story.,31-08-2015,Monday,August,2015,hardcover_book
US,Return to Me,1,3,3,"0 	(N)",and their hearts loved deeply while continuously breaking,"You'll find yourself transported back to war-time forties...a time when people lived in limbo, when every moment could be the last, and their hearts loved deeply while continuously breaking. The characters are complex and believable, and the story sweeps you into their lives. Multiple plotlines, from multiple eras, intertwine around the theme of &#34;return.&#34; Sadie is forced to examine her beliefs as her world shakes over and over again, and the journey through hard times makes one wonder if love really is enough. In the end, the reader is left examining his / her own beliefs around that very question.",31-08-2015,Monday,August,2015,hardcover_book
US,Fatal Voyage: The Sinking of the Uss Indianapolis,1,0,0,"1 	(Y)",Story that has been too long covered up. Shows ...,Story that has been too long covered up. Shows the true side of the top echelon of American service people and their utter regard for those who really do the work!,31-08-2015,Monday,August,2015,hardcover_book
US,The Gender of Inanimate Objects and Other Stories,1,1,1,"1 	(Y)",I loved this book,I loved this book!<br /><br />Maya is such an interesting character and Marello does an amazing job of bringing Sweetwater County and all of its complex inhabitants to life.<br /><br />I think &#34;In One Enormous Bed like Children&#34; is also amazing.,31-08-2015,Monday,August,2015,hardcover_book
US,The Liar,0,1,1,"0 	(N)",PREDICTABLE ALMOST FROM PAGE 1,"Two or three pages into the book I suspected how it would end. And after another 10 or 20 pages, I was sure. And I was right. So much for suspense. The best I could say about this book is that it is okay. Just barely. It's a long book -- unnecessarily long -- and when the author hasn't taken the trouble to craft her plot in a suspenseful way, there's not a lot there to make you want to turn the page. I have mixed feelings about her main character, who was supposed to have been a vibrant, energetic, assertive woman, yet became weak and submissive to her manipulative husband. It's hard for any reader to identiify with that. Additionally, the romance in the book isn't all that interesting -- just two people who are attracted to each other. No real getting-to-know-you development, no build-up of heat, no surprise, really. This 500-page book is really 250 pages too long and it all feels stretched out, with long sequences of unnecessary dialogue, superfluous scenes to establish things that already have been established, and so on. Can't help wondering what's going on with Nora Roberts these days. She's written a number of really good books, but her recent books seem like &#34;Nora Roberts diluted&#34;. So-so, at best. Maybe with so many books behind her, she's just burning out. As far as this one goes, I'm glad I got it from the library. If I had paid for it, I'd have been steamed. Maybe if she wrote fewer books each year -- but better ones -- I'd be a happier reader.",31-08-2015,Monday,August,2015,hardcover_book
US,Presbyterian Creeds: A Guide to the Book of Confessions,0,0,1,"1 	(Y)",The Presbyterian Book of Confessions contains multiple Creeds for use ...,The Presbyterian Book of Confessions contains multiple Creeds for use by the denomination. This guidebook helps he lay person to understand how these creeds came about and how to consider them in the context of their time and today.Av valuable guide for the average person.,31-08-2015,Monday,August,2015,hardcover_book
US,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,0,0,1,"0 	(N)",Really odd lady.,Sort of lame. Would like pictures to see how she folds all her clothes &#34;that make her feel joy&#34;.,31-08-2015,Monday,August,2015,hardcover_book
